BHID,PROYECTO,FECHA,HOLE_TYPE,COD_MES,DEPTH,XCOLLAR,YCOLLAR,ZCOLLAR,TIPO_COORD,LOC_CANAL,LEV_TOPO,SURVTYPE,IS_VALIDX,FAKE1,FAKE2
10103046815,MAND_OC_15,9/26/2015,8,201509,3.8,390129.386,8703184.964,4678.228,EJE,2,3,0,2,0,0
10103047101,MAND_OC_15,10/14/2015,8,201510,4.4,390051.164,8703056.63,4664.259,EJE,2,3,0,2,0,0
10103047669,MAND_OC_15,10/28/2015,8,201510,4,389363.997,8702246.73,3849.448,EJE,2,3,0,2,0,0
10103048096,MAND_OC_15,11/6/2015,8,201511,4.9,389036.255,8701848.834,4177.443,EJE,2,3,0,2,0,0
10103048167,MAND_OC_15,11/10/2015,8,201511,4.7,389233.225,8702072.451,3842.232,EJE,2,3,0,2,0,0
10103048361,MAND_OC_15,11/11/2015,8,201511,4.6,389235.296,8702075.249,3842.403,EJE,2,3,0,2,0,0
10103048473,MAND_OC_15,11/23/2015,8,201511,4.4,388877.351,8701582.999,4156.991,EJE,2,3,0,2,0,0
10103048498,MAND_OC_15,11/29/2015,8,201511,3.3,388985.162,8701699.053,4479.661,EJE,2,3,0,2,0,0
10103048641,MAND_OC_15,11/16/2015,8,201511,5.8,389468.2884,8702370.4,3832.5945,EJE,4,3,0,2,0,0
10103048982,MAND_OC_15,11/24/2015,8,201511,4.5,389311.5649,8702179.574,3823.3549,EJE,2,3,0,2,0,0
10103049006,MAND_OC_15,11/24/2015,8,201511,4,389515.6986,8702423.107,4010.3174,EJE,2,3,0,2,0,0
10103049081,MAND_OC_15,12/7/2015,8,201512,4.7,389656.965,8702593.342,4009.056,EJE,2,3,0,2,0,0
10103049093,MAND_OC_15,12/8/2015,8,201512,5.9,389288.462,8702141.184,3842.975,EJE,2,3,0,2,0,0
10103049154,MAND_OC_15,12/2/2015,8,201512,4.4,388887.276,8701596.856,4157.497,EJE,2,3,0,2,0,0
10103049225,MAND_OC_15,11/28/2015,8,201511,6,389316.8726,8702186.943,3822.8848,EJE,2,3,0,2,0,0
10103049309,MAND_OC_15,12/7/2015,8,201512,4.15,388828.766,8701520.874,4133.0804,EJE,2,3,0,2,0,0
